50,2020-12-10,16:39:57,jj
70,2020-12-10,16:43:23,토끼
70,2020-12-11,05:55:40,mkkim
0,2020-12-11,06:01:02,null
0,2020-12-11,06:02:40,null
0,2020-12-11,06:04:37,null
0,2020-12-11,06:05:21,null
10,2020-12-11,06:09:09,null
10,2020-12-11,06:09:59,null
70,2020-12-11,06:11:40,null
20,2020-12-11,06:12:16,null
10,2020-12-11,06:15:19,null
70,2020-12-11,06:17:21,null
70,2020-12-11,06:18:53,null
10,2020-12-11,06:21:55,null
70,2020-12-11,06:24:32,null
70,2020-12-11,06:26:54,null
70,2020-12-11,06:28:21,null
0,2020-12-11,06:28:46,null
0,2020-12-11,06:53:10,null
70,2020-12-11,06:54:15,null
